收入,人数
0~100,158
100~200,99
200~300,293
300~400,11
400~500,52
500~600,25
600~700,38
700~800,23
800~900,6
900~1000,6
1000~1100,35
1100~1200,10
1200~1300,64
1300~1400,22
1400~1500,121
1500~1600,58
1600~1700,189
1700~1800,61
1800~1900,59
1900~2000,113
2000~2100,68
2100~2200,156
2200~2300,192
2300~2400,275
2400~2500,118
2500~2600,80
2600~2700,74
2700~2800,64
2800~2900,50
2900~3000,59
3000~3100,59
3100~3200,3
3200~3300,0
3300~3400,2
3400~3500,0
3500~3600,0
3600~3700,0
3700~3800,0
3800~3900,0
3900~4000,0
4000~4100,0
4100~4200,0
4200~4300,0
4300~4400,0
4400~4500,0
4500~4600,0
4600~4700,0
4700~4800,0
4800~4900,0
4900~5000,0
