收入,人数
0~10,10
10~20,15
20~30,11
30~40,7
40~50,7
50~60,13
60~70,10
70~80,6
80~90,8
90~100,12
100~110,10
110~120,14
120~130,12
130~140,6
140~150,6
150~160,16
160~170,16
170~180,16
180~190,7
190~200,12
200~210,24
210~220,18
220~230,20
230~240,23
240~250,15
250~260,13
260~270,17
270~280,23
280~290,23
290~300,26
300~310,20
310~320,26
320~330,16
330~340,28
340~350,25
350~360,37
360~370,40
370~380,37
380~390,25
390~400,36
400~410,40
410~420,34
420~430,39
430~440,48
440~450,46
450~460,56
460~470,38
470~480,61
480~490,67
490~500,60
500~510,50
510~520,55
520~530,63
530~540,58
540~550,72
550~560,79
560~570,72
570~580,78
580~590,79
590~600,83
600~610,87
610~620,90
620~630,74
630~640,97
640~650,82
650~660,92
660~670,95
670~680,119
680~690,98
690~700,94
700~710,108
710~720,108
720~730,98
730~740,117
740~750,104
750~760,101
760~770,105
770~780,131
780~790,89
790~800,106
800~810,118
810~820,108
820~830,114
830~840,104
840~850,103
850~860,98
860~870,92
870~880,98
880~890,87
890~900,66
900~910,65
910~920,75
920~930,58
930~940,69
940~950,51
950~960,66
960~970,40
970~980,46
980~990,33
990~1000,46
1000~1010,28
1010~1020,31
1020~1030,31
1030~1040,38
1040~1050,25
1050~1060,20
1060~1070,16
1070~1080,17
1080~1090,19
1090~1100,18
1100~1110,14
1110~1120,10
1120~1130,7
1130~1140,9
1140~1150,5
1150~1160,7
1160~1170,11
1170~1180,8
1180~1190,7
1190~1200,3
1200~1210,4
1210~1220,4
1220~1230,4
1230~1240,2
1240~1250,1
1250~1260,1
1260~1270,4
1270~1280,3
1280~1290,0
1290~1300,1
1300~1310,1
1310~1320,0
